,tconst,tLabel,Location,Scene,geocodedLocation,latitude,longitude
1080,tt0027977,Modern Times,"Santa Clarita, California, USA",,"Santa Clarita, Los Angeles County, California, United States of America",34.3916641,-118.54258600000001
1087,tt1229413,Hung,"7110 Colony Dr., West Bloomfield, Michigan, USA",(Ray Drecker's house),"7110, Colony Drive, Westacres, West Bloomfield Township, Oakland County, Michigan, 48323, United States of America",42.57629700929099,-83.42348962231955
1090,tt0443465,Before We Go,"New York City, New York, USA",(location),"New York, United States of America",40.7127281,-74.0060152
1099,tt0292644,The Rules of Attraction,"London, England, UK",,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
1102,tt5028702,Alien Addiction,"Auckland, New Zealand",,"Auckland, 1010, New Zealand",-36.852095,174.76318030000002
1106,tt1024255,Wild Child,"Balls Park, Hertford, Hertfordshire, England, UK",,"Balls Wood, Elbow Lane, Hertford Heath, East Hertfordshire, Hertfordshire, East of England, England, SG13 7QA, United Kingdom",51.777069700000006,-0.05382908163449217
1110,tt5929654,Think Like a Dog,"New Orleans, Louisiana, USA",,"New Orleans, Orleans Parish, Louisiana, United States of America",29.949932300000004,-90.0701156
1135,tt0092746,Cherry 2000,"Nevada, USA",,"Nevada, United States of America",39.515882500000004,-116.85372269999999
1140,tt0105121,De mensen onder de trap,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
1141,tt1986770,Anger Management,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
1142,tt0109190,Baby's Day Out,"Chicago, Illinois, USA",,"Chicago, Cook County, Illinois, United States of America",41.875561600000005,-87.6244212
1150,tt0092086,¡Three Amigos!,"Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA",,"Old Tucson, 201, Kinney Road, Tucson Estates, Pima County, Arizona, 85735, United States of America",32.2186224,-111.13002730000001
1161,tt0842926,The Kids Are All Right,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
1165,tt1830491,Austin & Ally,"Irvine, California, USA",(B-Roll),"Irvine, Orange County, California, United States of America",33.685696899999996,-117.82598190000002
1168,tt0483726,Man of the Year,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
1169,tt0483726,Man of the Year,"Silver Spring, Maryland, USA",,"Silver Spring, Montgomery County, Maryland, United States of America",38.9959461,-77.02762309999999
1170,tt0483726,Man of the Year,"Uxbridge, Ontario, Canada",,"Uxbridge, Durham Region, Golden Horseshoe, Ontario, Canada",44.108850200000006,-79.1226768
1171,tt0104040,The Cutting Edge,"Hamilton, Ontario, Canada",,"Hamilton, Golden Horseshoe, Ontario, L8P 0B3, Canada",43.2560802,-79.8728583
1175,tt4595882,Can You Ever Forgive Me?,"West 81st Street in New York City, New York, USA",,"1, West 81st Street, Upper West Side, Manhattan Community Board 7, Manhattan, New York County, New York, 10024, United States of America",40.782269,-73.97192530000001
1178,tt4595882,Can You Ever Forgive Me?,"Brooklyn Bridge, New York City, New York, USA",(one shot),"Brooklyn Bridge, Dover Street, Financial District, Manhattan Community Board 1, Manhattan, New York County, New York, 10038, United States of America",40.70569125,-73.9963578678543
1179,tt4858674,Stargirl,"New Mexico, USA",,"New Mexico, United States of America",34.5708167,-105.993007
1182,tt0356680,The Family Stone,"Greenwich, Connecticut, USA",,"Greenwich, Fairfield County, Connecticut, United States of America",41.0264862,-73.6284598
1193,tt0115734,Bottle Rocket,"Dallas, Texas, USA",,"Dallas, Dallas County, Texas, United States of America",32.7762719,-96.7968559
1197,tt0083530,Airplane II: The Sequel,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
1198,tt2179116,The Kings of Summer,"Cleveland, Ohio, USA",,"Cleveland, Cuyahoga County, Ohio, United States of America",41.5051613,-81.6934446
1199,tt2179116,The Kings of Summer,"Wilmington, North Carolina, USA",,"Wilmington, New Hanover County, North Carolina, United States of America",34.2257282,-77.9447107
1206,tt1279935,Date Night,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
1211,tt0472160,Penelope,"Hall Barn, Beaconsfield, Buckinghamshire, England, UK",,"Hall Barn, M40, Beaconsfield, Buckinghamshire, South East, England, HP9 2BF, United Kingdom",51.59397725,-0.6393289127827194
1212,tt0472160,Penelope,"Primrose Hill, London, England, UK",,"Primrose Hill, Belsize Park, London Borough of Camden, London, Greater London, England, NW8 7LS, United Kingdom",51.539016499999995,-0.16193786284392453
1213,tt0472160,Penelope,"Blackfriars Bridge, London, UK",(Penelope lowers envelope of photos to Lemon),"Blackfriars Bridge, Blackfriars Road, Bankside, Southwark, London Borough of Southwark, London, Greater London, England, SE1 9UD, United Kingdom",51.5097451,-0.10440562555424326
1217,tt1389137,We Bought a Zoo,"Thousand Oaks, California, USA",,"Thousand Oaks, Ventura County, California, United States of America",34.17142715,-118.91058772974444
1219,tt1389137,We Bought a Zoo,"California, USA",,"California, United States of America",36.7014631,-118.75599740000001
1222,tt0090887,Critters,USA,,United States,39.7837304,-100.4458825
1224,tt2756032,The One I Love,USA,,United States,39.7837304,-100.4458825
1225,tt0095270,Hairspray,"Allentown, Pennsylvania, USA",,"Allentown, Lehigh County, Pennsylvania, United States of America",40.6022059,-75.47127940000001
1226,tt0095270,Hairspray,"Baltimore, Maryland, USA",,"Baltimore, Maryland, United States of America",39.2908816,-76.610759
1237,tt0108327,The Thing Called Love,"Tennessee, USA",,"Tennessee, United States of America",35.7730076,-86.28200809999998
1244,tt0119310,"Honey, We Shrunk Ourselves!","1230 Milan Avenue, South Pasadena, California, USA",(The Szalinski residence),"1230, Milan Avenue, Raymond Hill, South Pasadena, Los Angeles County, California, 91030, United States of America",34.11185672190404,-118.14392459195378
1245,tt4422836,Limitless,"Bushwick, Brooklyn, New York City, New York, USA",,"Bushwick, Brooklyn, Kings County, New York, 11237, United States of America",40.6942696,-73.91874820000001
1254,tt2097307,Hit and Run,"The Rock Store - 30354 Mulholland Highway, Cornell, California, USA",,"Rock Store, 30354, Mulholland Highway, Seminole Hot Springs, Los Angeles County, California, 91301, United States of America",34.1096535,-118.78814820000001
1261,tt2097307,Hit and Run,"6th Street Viaduct, Los Angeles, California, USA",(street scenes),"6th St Viaduct, East 6th Street, Arts District, Downtown, Los Angeles, Los Angeles County, California, 90021, United States of America",34.0382287,-118.22598629999999
1262,tt1178663,Whatever Works,"East Village, Manhattan, New York City, New York, USA",,"East Village, Manhattan Community Board 3, Manhattan, New York County, New York, United States of America",40.7292688,-73.9873613
1266,tt1421051,Somewhere,"Hotel Principe Di Savoia, Milan, Lombardia, Italy",,"Principe di Savoia, 17, Piazza della Repubblica, Centrale, Municipio 2, Milano, Lombardia, 20124, Italia",45.4797878,9.1963935
1270,tt1421051,Somewhere,"Milan, Lombardia, Italy",,"Milano, Lombardia, Italia",45.4668,9.1905
1274,tt0822832,Marley & Me,"Fort Lauderdale, Florida, USA",,"Fort Lauderdale, Broward County, Florida, United States of America",26.122308399999998,-80.14337859999999
1281,tt1819509,Don't Trust the B---- in Apartment 23,"New York, USA",,"New York, United States of America",40.7127281,-74.0060152
1283,tt8376234,Peter Rabbit 2,"Woollahra, Sydney, New South Wales, Australia",,"Woollahra, Sydney, Woollahra Municipal Council, New South Wales, 2025, Australia",-33.8857968,151.2440867
1289,tt7248248,Lucky Day,"Hamilton, Ontario, Canada",,"Hamilton, Golden Horseshoe, Ontario, L8P 0B3, Canada",43.2560802,-79.8728583
1291,tt0108174,So I Married an Axe Murderer,"Fog City Diner 1300 Battery St, San Francisco, California, USA",(Charlie and Harriet's double date with Tony and Susan),"Fog City Diner, 1300, Battery Street, Northeast Waterfront Historic District, San Francisco, San Francisco City and County, California, 94113, United States of America",37.8034359,-122.40185044353396
1304,tt3045616,Charlie Mortdecai,"Old Royal Naval College, Greenwich, London, England, UK",(exterior scenes),"Old Royal Naval College, Park Row, East Greenwich, Royal Borough of Greenwich, London, Greater London, England, SE10 9NL, United Kingdom",51.4829661,-0.006257671681354558
1306,tt3045616,Charlie Mortdecai,"Wrotham Park, Barnet, Hertfordshire, England, UK",(house exteriors),"Wrotham Park, Hertsmere, Hertfordshire, East of England, England, EN5 4RY, United Kingdom",51.677513399999995,-0.1957087
1307,tt3045616,Charlie Mortdecai,"West Wycombe House, West Wycombe, Buckinghamshire, England, UK",(hunting scene - exteriors),"West Wycombe House, High Street, West Wycombe, Buckinghamshire, South East, England, HP14 3AB, United Kingdom",51.641405,-0.8029658946457984
1311,tt0825232,The Bucket List,"Taj Mahal, Agra, Uttar Pradesh, India",(second unit),"Taj Mahal, Taj Mahal Internal Path, Taj Ganj, Agra, Uttar Pradesh, 282001, India",27.175012300000002,78.04209683661315
1312,tt0825232,The Bucket List,"Villefranche-sur-Mer, Alpes-Maritimes, France",,"Villefranche-sur-Mer, Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06230, France",43.7042317,7.309969000000001
1317,tt0825232,The Bucket List,France,,France,46.603353999999996,1.8883334999999999
1329,tt0052676,Carry on Teacher,"Drayton Green Primary School, West Ealing, London, England, UK",(Exteriors of Maudlin Street School),"Drayton Green Primary School, Drayton Grove, West Ealing, Hanwell, London Borough of Ealing, London, Greater London, England, W13, United Kingdom",51.5149976,-0.324961036749444
1339,tt0111958,Father Ted,"Kilfenora, County Clare, Ireland",,"Kilfenora, County Clare, Munster, Ireland",52.989919900000004,-9.217001300000002
1341,tt0111958,Father Ted,Ireland,,Éire / Ireland,52.865196,-7.9794599
1343,tt2802136,Home Sweet Hell,USA,,United States,39.7837304,-100.4458825
1346,tt0398375,Rumor Has It...,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
1352,tt5992164,Snatch,"Manchester, Greater Manchester, England, UK",,"Manchester, Greater Manchester, North West England, England, United Kingdom",53.479489199999996,-2.2451147999999996
1356,tt0084412,Night Shift,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
1364,tt5719700,Home Again,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
1371,tt1067774,Monte Carlo,"Dallas, Texas, USA",,"Dallas, Dallas County, Texas, United States of America",32.7762719,-96.7968559
1373,tt1067774,Monte Carlo,"Quai d'Orsay, Paris 7, Paris, France","(Grace, Emma and Meg's bus ride across Paris)","Quai d'Orsay, Quartier du Gros-Caillou, Paris, Île-de-France, France métropolitaine, 75007, France",48.862358799999996,2.3021623
1377,tt1067774,Monte Carlo,"Avenue Marceau, Paris 8, Paris, France",(viewed from the Arch of Triumph),"Avenue Marceau, Quartier de Chaillot, Paris, Île-de-France, France métropolitaine, 75008, France",48.8652632,2.2998512000000004
1379,tt1067774,Monte Carlo,"Basilique du Sacré-Coeur, Montmartre, Paris 18, Paris, France","(the guide takes Grace, Emma and Meg to the Sacré Coeur)","Basilique du Sacré-Cœur, 35, Rue du Chevalier de la Barre, Château Rouge, Quartier de Clignancourt, Paris, Île-de-France, France métropolitaine, 75018, France",48.88680575,2.3430153448835087
1389,tt0303714,Barbershop,"East 79th Street, South Chicago, Chicago, Illinois, USA",,"East 79th Street, South Chicago, Chicago, Cook County, Illinois, 60649, United States of America",41.751983700000004,-87.54846500000001
1392,tt0250593,Mom's Got a Date with a Vampire,"1343 Watersedge Road, Mississauga, Ontario, Canada",(Hansen home),"1343, Watersedge Road, Rattray Park Estates, Clarkson, Mississauga, Peel Region, Golden Horseshoe, Ontario, L5J 1B5, Canada",43.51478111256773,-79.60471093402742
1394,tt0952640,Alvin and the Chipmunks,"Canoga Park, Los Angeles, California, USA",,"Canoga Park, Los Angeles, Los Angeles County, California, 91303, United States of America",34.2010541,-118.5977282
1396,tt0952640,Alvin and the Chipmunks,"Downtown, Los Angeles, California, USA",,"Downtown, Los Angeles, Los Angeles County, California, United States of America",34.0428494,-118.24767320000001
1400,tt0355295,The Brothers Grimm,Czech Republic,,Česko,49.816700299999994,15.4749544
1403,tt0425123,Just Like Heaven,"Caffe Trieste - 601 Vallejo St, San Francisco, California, USA",(David and Jack's rendezvous),"Caffe Trieste, 601, Vallejo Street, North Beach, San Francisco, San Francisco City and County, California, 94133, United States of America",37.7986305,-122.40735190000001
1407,tt0425123,Just Like Heaven,"Fresno St, San Francisco, California, USA",(street scenes),"Fresno Street, Telegraph Hill, San Francisco, San Francisco City and County, California, 94113, United States of America",37.7986036,-122.40638909999998
1408,tt0425123,Just Like Heaven,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
1409,tt0087032,Cannonball Run II,"Bisbee, Arizona, USA",,"Bisbee, Cochise County, Arizona, United States of America",31.448154700000003,-109.92840840000001
1414,tt2758770,Star vs. de Kracht van het Kwaad,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
1418,tt6274614,SMILF,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
1428,tt0069089,Pink Flamingos,"Philpot Road, Phoenix, Maryland, USA",,"Philpot Road, Cross Creek, Corbett Hill Farms, Phoenix, Baltimore County, Maryland, 21131, United States of America",39.528101,-76.623336
1436,tt4155534,Animal Crackers,"Paterna, Valencia, Comunidad Valenciana, Spain",(studio) (Blue Dream Studios Spain),"Paterna, l'Horta Oest, València / Valencia, Comunitat Valenciana, España",39.503922700000004,-0.44210140000000003
1437,tt0448694,Puss in Boots,"Chicago Illinois, USA",,"Chicago, Cook County, Illinois, United States of America",41.875561600000005,-87.6244212
1438,tt0448694,Puss in Boots,"Milan, Italy",,"Milano, Lombardia, Italia",45.4668,9.1905
1439,tt11394182,Feels Good Man,"Vancouver, British Columbia, Canada",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.11395290000002
1440,tt11394182,Feels Good Man,"Hong Kong, China",,"香港島 Hong Kong Island, 香港 Hong Kong, China 中国",22.2793278,114.16281310000001
1441,tt11394182,Feels Good Man,"England, UK",,"England, United Kingdom",52.795479099999994,-0.5402402866174321
1447,tt0091445,Lucas,"1412 Waverly Rd., Highland Park, Illinois, USA",(Lucas' fake house),"1412, Waverly Road, Highland Park, Illinois, 60035, United States of America",42.1791063096924,-87.78381320567325
1448,tt0091445,Lucas,"374 N. Deere Park Dr. E., Highland Park, Illinois, USA",(Alise's house),"374, North Deere Park Drive East, Braeside, Highland Park, Illinois, 60035, United States of America",42.15924553932025,-87.7673000449308
1449,tt0091445,Lucas,"Highland Park, Illinois, USA",,"Highland Park, Illinois, 60035, United States of America",42.1816919,-87.8003438
1450,tt0091445,Lucas,"Maryknoll Seminary, Glen Ellyn, Illinois, USA",(hospital),"Maryknoll Seminary, West Driveway, Glen Ellyn, DuPage County, Illinois, 60137, United States of America",41.8564185,-88.0492329
1453,tt7599942,Whiskey Cavalier,Europe,,Europa,51.0,10.0
1457,tt0332047,The Perfect Catch,"Parkwood Estate, Oshawa, Ontario, Canada",(interiors),"Parkwood Estate, 270, Simcoe Street North, Thornton's Corners, Oshawa, Durham Region, Golden Horseshoe, Ontario, L1G 4T5, Canada",43.90421615,-78.867903675
1458,tt0332047,The Perfect Catch,"St. Louis, Missouri, USA",(Busch Stadium),"Saint Louis, City of Saint Louis, Missouri, 63102-1102, United States of America",38.6264178,-90.1998378
1459,tt0332047,The Perfect Catch,"Boston, Massachusetts, USA",,"Boston, Suffolk County, Massachusetts, United States of America",42.3602534,-71.0582912
20,tt0096928,Bill & Ted's Excellent Adventure,"Rome, Lazio, Italy",,"Roma Capitale, Lazio, Italia",41.85223935,12.631036615953587
25,tt6966692,Green Book,"Clover Grill, French Quarter, New Orleans, Louisiana, USA",(Gorman's hot dog competition),"Clover Grill, 900, Bourbon Street, Vieux Carre Historic District, French Quarter, New Orleans, Orleans Parish, Louisiana, 70130, United States of America",29.960283299999997,-90.0640319
27,tt6966692,Green Book,"The Roosevelt New Orleans - 130 Roosevelt Way, New Orleans, Louisiana, USA",(Memphis hotel exterior),"The Roosevelt New Orleans, A Waldorf Astoria Hotel, Roosevelt Way, Vieux Carre Historic District, Storyville, New Orleans, Orleans Parish, Louisiana, 70112, United States of America",29.954318699999998,-90.0720965
32,tt6966692,Green Book,"Hammond, Louisiana, USA",,"Hammond, Tangipahoa Parish, Louisiana, United States of America",30.5043583,-90.4611995
34,tt2582802,Whiplash,"Santa Clarita, California, USA",,"Santa Clarita, Los Angeles County, California, United States of America",34.3916641,-118.54258600000001
36,tt1727824,Bohemian Rhapsody,"Bovingdon Airfield, Bovingdon, Hertfordshire, UK",(Doubling for Wembley Arena Live Aid concert),"Bovingdon Airfield (disused), Lysander Close, Bovingdon, Hertfordshire, East of England, England, HP3 0RY, United Kingdom",51.728550399999996,-0.5420498
42,tt1727824,Bohemian Rhapsody,UK,,United Kingdom,54.702354500000006,-3.2765752999999997
46,tt1517451,A Star Is Born,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
52,tt2380307,Coco,"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",,"Pixar Animation Studios, 1200, Park Avenue, Longfellow, Emeryville, Alameda County, California, 94608, United States of America",37.8326714,-122.28369454930086
85,tt0190590,"O Brother, Where Art Thou?","Jackson, Mississippi, USA",,"Jackson, Hinds County, Mississippi, United States of America",32.29903839999999,-90.1847691
90,tt0190590,"O Brother, Where Art Thou?","Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
118,tt8079248,Yesterday,Russia,,Россия,64.6863136,97.7453061
156,tt0086879,Amadeus,"Kromeríz, Czech Republic",,"Kroměříž, okres Kroměříž, Zlínský kraj, Střední Morava, Česká republika",49.2984191,17.3929804
162,tt0092890,Dirty Dancing,"Lake Lure, North Carolina, USA",,"Lake Lure, Rutherford County, North Carolina, United States of America",35.4278969,-82.2048343
197,tt0087277,Footloose,"Provo, Utah, USA",,"Provo, Utah County, Utah, United States of America",40.233843799999995,-111.6585337
234,tt9735758,Boyz in the Wood,"Scotland, UK",,"Scotland, United Kingdom",56.78611120000001,-4.1140517999999995
255,tt0105793,Wayne's World,"Chicago, Illinois, USA",,"Chicago, Cook County, Illinois, United States of America",41.875561600000005,-87.6244212
256,tt0105793,Wayne's World,"Scottsdale, Arizona, USA",,"Scottsdale, Maricopa County, Arizona, United States of America",33.4942189,-111.92601840000002
290,tt3228904,Empire,"353 North Clark Street, Chicago, Illinois, USA",(Empire HQ - 3353 Madison Avenue),"353 North Clark, 353, North Clark Street, Near North Side, Chicago, Cook County, Illinois, 60654, United States of America",41.888980600000004,-87.63015659327661
295,tt0088258,This Is Spinal Tap,"Sherman Oaks, Los Angeles, California, USA",,"Sherman Oaks, Los Angeles, Los Angeles County, California, 91403, United States of America",34.1508718,-118.4489865
297,tt0200550,Coyote Ugly,"South Amboy, New Jersey, USA",,"South Amboy, Middlesex County, New Jersey, United States of America",40.491772499999996,-74.28320169999999
338,tt0103855,The Bodyguard,"Los Angeles City Hall - 200 North Spring Street, Downtown, Los Angeles, California, USA",,"Los Angeles City Hall, 200, North Spring Street, Civic Center, Downtown, Los Angeles, Los Angeles County, California, 90012, United States of America",34.05377670000001,-118.2428987
389,tt2848292,Pitch Perfect 2,"Baton Rouge, Louisiana, USA",,"Baton Rouge, East Baton Rouge Parish, Louisiana, United States of America",30.445959600000002,-91.18738
425,tt0117887,That Thing You Do!,"Erie, Pennsylvania, USA",,"Erie, Erie County, Pennsylvania, United States of America",42.129471200000005,-80.0852695
463,tt0088194,Streets of Fire,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
480,tt0085549,Flashdance,USA,,United States,39.7837304,-100.4458825
481,tt0085549,Flashdance,"California, USA",,"California, United States of America",36.7014631,-118.75599740000001
492,tt6543652,Zimna wojna,Poland,,Polska,52.215933,19.134422
505,tt0101761,The Doors,"New Mexico, USA",,"New Mexico, United States of America",34.5708167,-105.993007
506,tt0101761,The Doors,"Palos Verdes Peninsula, California, USA",,"Palos Verdes Peninsula High School, Silver Spur Road, Rancho Palos Verdes, Los Angeles County, California, 90274, United States of America",33.77984925,-118.3721968302154
527,tt3312830,Youth,"Flims, Kanton Graubünden, Switzerland",(Spa at Park Hotel Waldhaus),"Flims, Imboden, Graubünden/Grigioni/Grischun, Switzerland",46.8332439,9.2834557
554,tt0088286,Top Secret!,"Rockingham Castle, Rockingham, Corby, Northamptonshire, England, UK",(Fleurgendorf prison exterior),"Rockingham Castle, Main Street, Rockingham, Corby, Northamptonshire, East Midlands, England, LE16 8TH, United Kingdom",52.512979599999994,-0.7241896361520657
561,tt0093378,La Bamba,"Cowboy Palace Saloon - 21635 Devonshire St, Chatsworth, Los Angeles, California, USA",,"Cowboy Palace Saloon, 21635, Devonshire Street, Chatsworth, Los Angeles, Los Angeles County, California, 91311, United States of America",34.25747035000001,-118.60151740289615
567,tt0113862,Mr. Holland's Opus,"University of Portland - 5000 N Willamette Boulevard, Portland, Oregon, USA",(School District Meeting),"University of Portland, 5000, North Willamette Boulevard, University Park, Portland, Multnomah County, Oregon, 97203, United States of America",45.57340675,-122.72635291314371
580,tt1648186,Fisherman's Friends,"Port Isaac, Cornwall, England, UK",(location),"Port Isaac, Cornwall, South West England, England, PL29 3SB, United Kingdom",50.5938787,-4.8299895
584,tt1226229,Get Him to the Greek,"Abbey Road, St. John's Wood, London, England, UK",(establishing shots - Aaron arrives in London),"Abbey Road, St. John's Wood, City of Westminster, London, Greater London, England, NW8, United Kingdom",51.5319494,-0.17721810000000002
601,tt1226229,Get Him to the Greek,"Meatpacking District, Manhattan, New York City, New York, USA",,"Meatpacking District, Manhattan Community Board 2, Manhattan, New York County, New York, 100014, United States of America",40.7408029,-74.0080691
621,tt0075265,A Star Is Born,"Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA",,"Old Tucson, 201, Kinney Road, Tucson Estates, Pima County, Arizona, 85735, United States of America",32.2186224,-111.13002730000001
622,tt0075265,A Star Is Born,"Downtown, Tucson, Arizona, USA",,"East Downtown Street, Armory Park, Tucson, Pima County, Arizona, 85701, United States of America",32.215691,-110.9623123
625,tt0075265,A Star Is Born,"Tempe, Arizona, USA",,"Tempe, Maricopa County, Arizona, United States of America",33.4255056,-111.9400125
627,tt0368794,I'm Not There,"Brigham, Québec, Canada",,"Brigham, Brome-Missisquoi, Montérégie, Québec, J2K 4V6, Canada",45.246398799999994,-72.8454198
633,tt1830491,Austin & Ally,"Irvine, California, USA",(B-Roll),"Irvine, Orange County, California, United States of America",33.685696899999996,-117.82598190000002
637,tt0202470,Rock Star,"Pennsylvania, USA",,"Pennsylvania, United States of America",40.9699889,-77.72788309999999
657,tt0091954,Sid and Nancy,"New York City, New York, USA","(Chelsea Hotel, exteriors)","New York, United States of America",40.7127281,-74.0060152
659,tt0091954,Sid and Nancy,"Houses of Parliament, Westminster, London, England, UK",(Boat concert scene),"Palace of Westminster, The Terrace, Westminster, Millbank, City of Westminster, London, Greater London, England, SW1A 0AA, United Kingdom",51.49942520000001,-0.12444777279476392
676,tt1742044,Jersey Boys,"Santa Monica Pier, Santa Monica, California, USA",,"Santa Monica Pier, Santa Monica, Los Angeles County, California, United States of America",34.00889605,-118.49740225045328
680,tt0084503,Pink Floyd: The Wall,"The Vicarage, Chiswick Mall, London W4 2PJ",(Church featured in Part 1 of Another Brick In The Wall),"Chiswick Mall, London Borough of Hounslow, London, Greater London, England, W4 2PJ, United Kingdom",51.4866653,-0.24870660000000003
683,tt0084503,Pink Floyd: The Wall,"Keighley, Bradford, West Yorkshire, England, UK",,"Keighley, Bradford, West Yorkshire, Yorkshire and the Humber, England, United Kingdom",53.86764515,-1.9387085955617689
710,tt0120770,A Night at the Roxbury,"Beverly Hills, California, USA",(Butabi home),"Beverly Hills, Los Angeles County, California, United States of America",34.0696501,-118.3963062
722,tt0096018,Running on Empty,"89 Highwood Avenue, Tenafly, New Jersey, USA",(Lorna Phillips residence),"89, Highwood Avenue, Tenafly, Bergen County, New Jersey, 07670, United States of America",40.92672227657714,-73.95917733174329
729,tt0108394,Trois couleurs: Bleu,"Palais de Justice, Paris 1, Paris, France",(hall of justice),"Palais de Justice - Annexe, Rue de Cambrai, Quartier du Pont-de-Flandre, Paris, Île-de-France, France métropolitaine, 75019, France",48.896091600000005,2.3807621
761,tt1666185,All Eyez on Me,"Las Vegas, Nevada, USA",,"Las Vegas, Clark County, Nevada, United States of America",36.1672559,-115.1485163
773,tt1294226,The Last Song,"Tybee Island, Georgia, USA",,"Tybee Island, Chatham County, Georgia, 31328, United States of America",31.998732099999998,-80.8469427
774,tt1294226,The Last Song,"Savannah, Georgia, USA",,"Savannah, Chatham County, Georgia, United States of America",32.0809263,-81.09117679999999
775,tt0236348,Josie and the Pussycats,Canada,,Canada,61.0666922,-107.9917071
778,tt0236348,Josie and the Pussycats,"Kerrisdale, Vancouver, British Columbia, Canada",,"Kerrisdale, Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2209848,-123.1595483795563
781,tt0236348,Josie and the Pussycats,"Stanley Park, Vancouver, British Columbia, Canada",,"Stanley Park, Vancouver, Metro Vancouver Regional District, British Columbia, V6G, Canada",49.3019112,-123.14154052837662
788,tt0365830,Tenacious D in The Pick of Destiny,"Long Beach, California, USA",,"Long Beach, Los Angeles County, California, United States of America",33.7690164,-118.1916048
790,tt3704428,Untitled Elvis Presley Project,"Village Roadshow Studios, Oxenford, Queensland, Australia",,"Village Roadshow Studios, Entertainment Road, Oxenford, Gold Coast City, Queensland, 4210, Australia",-27.910527700000006,153.3118145855983
791,tt0907657,Once,"Mountjoy Square East, Dublin, Ireland",(Girl's Home),"Mountjoy Square East, Mountjoy B ED, Dublin, County Dublin, Leinster, D01KT62, Ireland",53.3569671,-6.256508999999999
795,tt5189554,Soy Luna,"Cancún, Mexico",,"Cancún, Benito Juárez, Quintana Roo, México",21.1617854,-86.8510468
807,tt0063462,The Producers,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
808,tt0063462,The Producers,"100 East 7th Street, Manhattan, New York City, New York, USA","(Franz Liebkind's stoop with ""concierge"" lady)","100, East 7th Street, East Village, Manhattan Community Board 3, Manhattan, New York County, New York, 10009, United States of America",40.726519,-73.98515899354263
809,tt8800266,Ema,"Valparaíso, Región de Valparaíso, Chile",,"Valparaíso, Provincia de Valparaíso, Región de Valparaíso, Chile",-33.0458456,-71.6196749
811,tt3859310,How to Talk to Girls at Parties,"Sheffield, South Yorkshire, England, UK",(1970's London),"Sheffield, Yorkshire and the Humber, England, United Kingdom",53.38066260000001,-1.4702278
812,tt3859310,How to Talk to Girls at Parties,"London, England, UK",,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
813,tt3859310,How to Talk to Girls at Parties,"Wapping, London, England, UK",(1970's London),"Wapping, London Borough of Tower Hamlets, London, Greater London, England, E1W 2PY, United Kingdom",51.50543629999999,-0.05872909999999999
817,tt0078446,Up in Smoke,"Venice, Los Angeles, California, USA",,"Venice, Los Angeles, Los Angeles County, California, United States of America",33.995044,-118.4668875
818,tt0078446,Up in Smoke,"Tijuana, Baja California Norte, Mexico",,"Tijuana, Municipio de Tijuana, Baja California, 22105, México",32.501018800000004,-116.9646629
819,tt0078446,Up in Smoke,"3351 Riverside Drive, Los Angeles, California, USA",(pulled over by police officer),"Riverside Drive, Griffith Park, Los Angeles, Los Angeles County, California, 91201, United States of America",34.1549312,-118.29393689999999
826,tt0094715,Beaches,"Hollywood, Los Angeles, California, USA",,"Hollywood, Los Angeles, Los Angeles County, California, 90028-8127, United States of America",34.0980031,-118.329523
